dbo_Region.name,dbo_Locality.name,dbo_Institution.name,dbo_lu_InstitutionType.name,pînã la 5 km,mai mul de 5 km
mun. Bãlþi,MUN.BALTI,"Scoala primara, 21",Scoala Primara,478,14
mun. Bãlþi,MUN.BALTI,ªcoalã internat pentru copii slab vãzãtor,Gimnaziu,23,60
mun. Bãlþi,MUN.BALTI,ªcoala internat auxiliarã,Gimnaziu,0,12
mun. Bãlþi,MUN.BALTI,Scoala medie nr.3,Scoala Medie,0,0
mun. Bãlþi,MUN.BALTI,"IÎP Liceul ""Elitex""",Liceu,,
mun. Bãlþi,MUN.BALTI,"L.T.""Mihail Lomonosov""",Liceu,0,34
mun. Bãlþi,MUN.BALTI,Scola medie nr.2,Scoala Medie,,
mun. Bãlþi,MUN.BALTI,Scoala medie nr.15,Scoala Medie,0,0
mun. Bãlþi,MUN.BALTI,ªcoala de tip internat,Gimnaziu,41,138
mun. Bãlþi,MUN.BALTI,Scoala medie nr.14,Scoala Medie,0,0
mun. Bãlþi,MUN.BALTI,"L.T.""V.Maiacovschi""",Liceu,2,0
mun. Bãlþi,MUN.BALTI,Gimnaziul nr.9,Gimnaziu,0,0
mun. Bãlþi,MUN.BALTI,Gimnaziul nr.7,Gimnaziu,0,0
mun. Bãlþi,MUN.BALTI,Scoala medie nr.6,Scoala Medie,0,0
mun. Bãlþi,MUN.BALTI,L.T. Coºbuc,Liceu,62,17
mun. Bãlþi,MUN.BALTI,L.T.A. I. Cuza,Liceu,0,0
mun. Bãlþi,MUN.BALTI,Scoala medie nr.4,Scoala Medie,0,0
mun. Bãlþi,MUN.BALTI,"""N. Gogol""",Liceu,42,766
mun. Bãlþi,MUN.BALTI,L.T. ªtefan cel Mare,Liceu,0,14
mun. Bãlþi,MUN.BALTI,L.T. M. Gorki,Liceu,0,4
mun. Bãlþi,S.ELIZAVETA,Scoala medie nr.19,Scoala Medie,,
mun. Bãlþi,MUN.BALTI,Scoala Medie Seralã nr.23,Scoala Medie,0,0
mun. Bãlþi,MUN.BALTI,"Liceul Teoretic Regional ""Ion Creangã""",Liceu,63,99
mun. Bãlþi,MUN.BALTI,L.T. V.Alecsandri,Liceu,6,0
mun. Bãlþi,MUN.BALTI,L.T. A.Puºkin,Liceu,0,1
mun. Bãlþi,MUN.BALTI,L.T. B-P. Haºdeu,Liceu,5,0
mun. Bãlþi,MUN.BALTI,L.T. D. Cantemir,Liceu,0,0
mun. Bãlþi,MUN.BALTI,L.T. M. Eminescu,Liceu,33,64
mun. Bãlþi,MUN.BALTI,Gimnaziul nr.10,Gimnaziu,0,0
mun. Bãlþi,S.SADOVOE,Gimnaziul nr.16,Gimnaziu,0,0
mun. Bãlþi,MUN.BALTI,"L.T.""Lucian Blaga""",Liceu,0,0
mun. Chiºinãu,sec.Buiucani,Gimnaziul nr.34,Gimnaziu,,
mun. Chiºinãu,sec.Botanica,ªcoala speciala nr.12,Scoala Medie,35,81
mun. Chiºinãu,sec.Botanica,"Liceul Teoretic ""Vasile Alecsandri""",Liceu,,507
mun. Chiºinãu,sec.Ciocana,ªcoala primarã nr.12,Scoala Primara,0,13
mun. Chiºinãu,Durleºti,ªcoala medie de culturã generalã nr.84,Scoala Medie,0,3
mun. Chiºinãu,Codru,ªcoala primarã nr.88,Scoala Primara,4,1
mun. Chiºinãu,sec.Rîºcani,ªcoala-grãdiniþã nr.199,Scoala Primara,87,30
mun. Chiºinãu,sec.Centru,Gimnaziul internat nr.3,Gimnaziu,5,221
mun. Chiºinãu,sec.Rîºcani,"Liceul Teoretic ""Aleco Russo""",Liceu,,
mun. Chiºinãu,sec.Rîºcani,"Liceul Teoretic ""Natalia Gheorghiu""",Liceu,,
mun. Chiºinãu,sec.Rîºcani,"Liceul teoretic ""G.Calinescu""",Liceu,125,
mun. Chiºinãu,sec.Buiucani,"Liceul Teoretic  ""Mircea Eliade""",Liceu,0,15
mun. Chiºinãu,Budeºti,"Liceul Teoretic ""Budeºti""",Liceu,28,
mun. Chiºinãu,sec.Buiucani,Liceul internat municipal cu profil sportiv,Liceu,,
mun. Chiºinãu,Grãtieºti,"Liceul Teoretic ""Grãtieºti""",Liceu,0,0
mun. Chiºinãu,sec.Ciocana,ªcoala medie de culturã generalã nr.35,Scoala Medie,,11
mun. Chiºinãu,sec.Buiucani,"Liceul Teoretic ""Hyperion""",Liceu,0,0
mun. Chiºinãu,sec.Botanica,ªcoala-grãdiniþã nr.124,Scoala Primara,138,15
mun. Chiºinãu,sec.Botanica,Liceul teoretic cu profil sportiv nr.3,Scoala Medie,8,4
mun. Chiºinãu,sec.Botanica,"Liceul Teoretic ""Traian""",Liceu,674,99
mun. Chiºinãu,sec.Botanica,"Liceul Teoretic ""Rambam""",Liceu,192,105
mun. Chiºinãu,sec.Rîºcani,"Liceul Teoretic ""M.de Cervantes""",Liceu,0,24
mun. Chiºinãu,sec.Buiucani,ªcoala medie de culturã generalã nr.86,Scoala Medie,29,6
mun. Chiºinãu,sec.Centru,"Liceul Teoretic ""Mihai Viteazul""",Liceu,1248,83
mun. Chiºinãu,Ghidighici,Gimnaziul nr.79,Gimnaziu,,
mun. Chiºinãu,sec.Buiucani,"Liceul Teoretic ""Spiru Haret""",Liceu,53,14
mun. Chiºinãu,sec.Botanica,"Liceul Teoretic ""Mihai Grecu""",Liceu,531,248
mun. Chiºinãu,sec.Centru,"Liceul Teoretic ""Minerva""",Liceu,398,67
mun. Chiºinãu,sec.Buiucani,ªcoala medie de culturã generalã nr.59,Scoala Medie,,
mun. Chiºinãu,Vatra,ªcoala medie de culturã generalã nr.51,Scoala Medie,1,1
mun. Chiºinãu,sec.Botanica,ªcoala medie de culturã generalã nr.49,Scoala Medie,224,8
mun. Chiºinãu,sec.Ciocana,Gimnaziul nr. 44,Gimnaziu,4,12
mun. Chiºinãu,sec.Buiucani,"Liceul Teoretic  ""Onisifor Ghibu""",Liceu,0,30
mun. Chiºinãu,Codru,Gimnaziul nr.42,Gimnaziu,2,1
mun. Chiºinãu,sec.Centru,ªcoala medie de culturã generalã nr. 41,Scoala Medie,,2
mun. Chiºinãu,sec.Botanica,Gimnaziul  nr.17,Gimnaziu,113,17
mun. Chiºinãu,sec.Rîºcani,ªcoala medie de culturã generalã nr.85,Scoala Medie,,
mun. Chiºinãu,sec.Ciocana,"Liceul Teoretic ""Petru Zadnipru""",Liceu,750,58
mun. Chiºinãu,sec.Botanica,"Liceul Teoretic ""Liviu Rebreanu""",Liceu,898,9
mun. Chiºinãu,sec.Buiucani,Gimnaziul nr.65,Gimnaziu,,
mun. Chiºinãu,Dobrogea,Gimnaziul nr.68,Gimnaziu,302,3
